cancer_type_detail,Unnamed: 0,Tissue,CELLNAME,NSC1,NSC2,Anchor Conc,SMILES_A,SMILES_B,GROUP,Delta Xmid,Delta Emax,Library IC50,Library Emax,gender,ethnicity,age_at_sampling,Anchor IC50,Anchor Emax,mahalanobis,Experiment
Breast Adenocarcinoma,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200,10200
Breast Carcinoma,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,18725,16175,18725,18725,18725,18725
Cecum Adenocarcinoma,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
Colon Adenocarcinoma,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,14906,12506,14906,14906,14906,14906
Colon Carcinoma,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,600,4200,4200,4200,4200
Colorectal Carcinoma,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Ductal Breast Carcinoma,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442,17442
Invasive Ductal Carcinoma Not Otherwise Specified,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430,15430
Pancreatic Adenocarcinoma,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,6500,7800,7800,7800,7800
Pancreatic Adenosquamous Carcinoma,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650
Pancreatic Carcinoma,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950
Pancreatic Ductal Adenocarcinoma,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,8106,6500,8106,8106,8106,8106
Rectal Adenocarcinoma,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,1200,2400,2400,2400,2400
Squamous Cell Breast Carcinoma Acantholytic Variant,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275,1275
