name,Pearson IC50,Spearman IC50,R2 IC50,MSE IC50,Pearson Emax,Spearman Emax,R2 Emax,MSE Emax
LGBM Drugs,5.5991265513397225e-05,0.0004706563728962575,8.098112214476463e-05,0.0002542728490359709,0.001435851691963545,0.0017602140248850586,0.0018157876468433475,0.0014308234310257471
RF Drugs,0.00077784931377373,0.000486654575941288,0.001012882292574799,0.022358410885767708,0.003921116115211634,0.0006148966567910472,0.007556498370439934,0.04836447536934706
DL Drugs,0.1439938385842061,0.21099908006293652,0.11391084996367025,0.16721900509726836,0.21112893464950958,0.3603494482091771,0.17099739392860286,0.30316450110068593
XGBoost Drugs,8.205976003530746e-05,0.0004430245540215923,0.00010913158243125237,0.00015594644134486182,0.1169686273089079,0.1592346457624816,0.16905507280008844,0.07749091424032734
Ensemble Drugs,2.178529672459154e-07,2.2730608441794135e-07,2.509202286655631e-07,0.0007419966161195043,4.4178235566848316e-07,6.29001726916111e-07,4.5667659169645035e-07,0.0018501889466324517
LGBM Cell,1.8831651462759437e-06,2.6904035736814383e-06,2.7550549107851612e-06,0.007402023524296784,1.9695360048154553e-05,1.529805511982531e-05,0.00011359656432522967,0.000381245071301989
RF Cell,0.00036341148792705125,0.000234913750165769,0.00024856961473771085,0.4067780761810091,0.004327166057770455,0.0007723433163386187,0.0037329970976673595,0.8665690869682154
DL Cell,0.0015763392002929493,0.003692347135169354,0.01854574206661445,0.025562063793275646,0.0032242220073384156,0.005177189917580337,0.08252703462774347,0.22263348574226438
XGBoost Cell,1.930587378955176e-05,4.593885604161278e-05,3.7010375311646764e-05,0.00011742357151172722,0.0022958191505952734,0.001702455981551025,0.002136504939225528,0.059935413995250424
Ensemble Cell,6.3589347333522895e-09,1.3062485735499468e-08,1.4208393882780247e-08,0.00483870823685726,5.375156245518869e-08,8.155401282448798e-08,1.4341994754899087e-07,0.031504169317372335
LGBM Regular,4.151538746946121e-07,3.611759192706182e-07,2.2016017984672592e-07,1.2629914294314572e-07,1.4612461742358727e-06,4.1019209558537555e-07,6.059967770355097e-07,2.6951977330418315e-07
RF Regular,1.2184993763549652e-06,1.1567186261718044e-06,2.781934513627446e-07,7.211275917346782e-06,9.403351910790325e-05,7.095630136688748e-06,2.3302996631639644e-05,0.0001602524694496818
DL Regular,0.18711516103641498,0.20531099193299535,0.09643497277623851,0.17870272279677418,0.5351829178797736,0.5279422690195799,0.4272042522817484,0.3403415857141513
XGBoost Regular,0.015067986117147205,0.03087771744670558,0.029220633260511598,0.14928391383393483,0.3701225775255229,0.33413605400376634,0.4612294134394106,0.4448457040829346
Ensemble Regular,1.014699297356507e-07,1.3429028622771258e-06,1.2603318305848768e-07,2.0051984720822892e-11,1.3620115668234507e-07,1.1556723322597696e-07,2.554793718254657e-08,4.4000796228525295e-11
